methodological_claim,equation_label,implementation_file,implementation_function,output_file,tolerance,status,failure_reason
every completed transition updates SAC mean parameters,actor mean update,experiments/5.2-2/training.py,train_sac,sac_checkpoint_replay.csv,0.0,PASS,
the stochastic actor variance is trained rather than fixed,actor log-standard-deviation update,experiments/5.2-2/training.py,train_sac,sac_checkpoint_replay.csv,0.0,PASS,
preprojection entropy contributes to the reconstructed actor objective,constrained SAC actor loss,experiments/5.2-2/training.py,_sac_sample_objective_and_gradient,sac_update_recalculation.csv,1e-10,PASS,
temperature follows the registered log-coordinate gradient update,adaptive entropy temperature,experiments/5.2-2/training.py,train_sac,sac_update_recalculation.csv,1e-10,PASS,
"both reward critics receive distinct targets, losses and per-transition updates",twin reward critics,experiments/5.2-2/training.py,train_sac,sac_episode_replay_summary.csv,1e-10,PASS,
constrained SAC updates its constraint critic from recorded targets,soft constraint critic,experiments/5.2-2/training.py,train_sac,sac_update_recalculation.csv,1e-10,PASS,
the nonnegative constraint dual updates on every constrained transition,constraint dual update,experiments/5.2-2/training.py,train_sac,sac_update_recalculation.csv,1e-10,PASS,
the actor gradient uses the formal projector local Jacobian,projected actor gradient chain,src/tre84/actions.py,ActionProjector.local_jacobian,sac_projection_jacobian.csv,0.0001,PASS,
mean and log-standard-deviation gradients match central differences,independent actor gradient acceptance,experiments/5.2-2/training.py,sac_actor_gradient_check,sac_actor_gradient_recalculation.csv,0.0001,PASS,
BC and SAC checkpoints are selected before test replay on independent validation paths,validation-only checkpoint selection,experiments/5.2-2/training.py,train_bc/train_sac,sac_checkpoint_replay.csv,0.0,PASS,
checkpoint hashes and deterministic actions independently reproduce,frozen checkpoint replay,experiments/5.2-2/features.py,LinearActor.raw_action,sac_checkpoint_replay.csv,0.0,PASS,
dual and complementarity residuals are auditable,projection KKT conditions,src/tre84/actions.py,ActionProjector.project,projection_kkt_trace.csv,,NOT_TESTED,SLSQP multipliers were not persisted by the production ProjectionResult.
validation error is decomposed by action coordinate and after projection,BC action fitting objective,experiments/5.2-2/training.py,train_bc,bc_validation_summary.csv,,NOT_TESTED,5.2.2 persisted aggregate imitation loss but not action-coordinate validation errors or projected teacher gap.
training wall time and peak memory are auditable,computational profile,experiments/5.2-2/run_5_2_2.py,run,runtime_profile.csv,,NOT_TESTED,Training wall time by algorithm and peak memory were not persisted; no retrospective value is fabricated.
