contract_id,critical,chapter,equation_label,methodological_claim,input_variables,implementation_file,implementation_function,production_caller,output_file,output_columns,acceptance_test,maximum_observed_residual,tolerance,tolerance_basis,status,failure_reason
M10_TRAVEL_LAG,True,3,maritime lag convolution,dispatch cannot arrive early or disappear,"production state, released information, action, path/checkpoint as applicable",src/tre84/transition.py,_inject_and_advance_pipeline,TaggedTransition.step,travel_lag_acceptance.csv,absolute_residual,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M11_CAPACITY_TIMING,True,3,capacity pipelines,readiness/direct capacity obey registered delivery timing,"production state, released information, action, path/checkpoint as applicable",src/tre84/capacity.py,CapacityDynamics.transition,TaggedTransition.step,capacity_pipeline_acceptance.csv,readiness_available_before_maturity,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M12_REPRODUCIBILITY,True,5.1,matched deterministic replay,same config/data/path/checkpoint/seed reproduces aggregates,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-4/run_5_2_4.py,historical anchor replay,production evaluator,reproducibility_audit.csv,maximum_difference|exact_hash_match,independent production-output recalculation plus controlled shared-kernel case,5.820766091346741e-11,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M25_UNAVAILABLE_ROUTE_HOLD,True,"3,4",physical route unavailability,existing route-tagged mass remains at its current stage and receives zero service,"production state, released information, action, path/checkpoint as applicable",src/tre84/transition.py,TaggedTransition.step,ModelKernel.execute,unavailable_route_acceptance.csv,maximum_hold_residual|unavailable_route_service_violation,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M26_CLEARANCE_TERMINAL,True,"3,4",explicit clearance and terminal correction,right censoring is preserved and terminal outstanding is charged exactly once,"production state, released information, action, path/checkpoint as applicable",src/tre84/clearance.py,ClearanceRunner.run,run_replication,clearance_terminal_acceptance.csv,decision_clearance_terminal_residual|clearance_observation_valid,independent production-output recalculation plus controlled shared-kernel case,1.1641532182693481e-10,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M27_RCMSA_MASTER_CHOICE_DISTANCE,True,4,Algorithm RC-MSA deterministic Sel_t,historical distance is evaluated on the complete master choice support with unavailable current routes set to zero,"production state, released information, action, path/checkpoint as applicable",src/tre84/behavior.py,RCMSASolver._distance_to_previous,RCMSASolver.solve,chapter4_contract_reinforcement.csv,observed_value|expected_value|maximum_residual,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-12,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M28_DISCLOSURE_REFERENCE_ACTION,True,4,frozen disclosure baseline uses a_t^{-I},the reference forecast callback cannot observe the current disclosure block,"production state, released information, action, path/checkpoint as applicable",src/tre84/factory.py,disclosure_reference_action / StandardBehaviorProblemFactory.__call__,ModelKernel behavior factory,chapter4_contract_reinforcement.csv,observed_value|maximum_residual,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M29_WAITING_VINTAGE_NO_RESET,True,"3,4",no waiting vintage is reset,every previous vintage ages exactly once and only renewed new cargo enters age zero,"production state, released information, action, path/checkpoint as applicable",src/tre84/transition.py; src/tre84/acceptance.py,TaggedTransition.step / _physical_certificate,ModelKernel.execute,chapter4_contract_reinforcement.csv,waiting_vintage_balance_residuals|waiting_vintage_no_reset_residuals,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M30_MPC_SELECTOR_MODULE_CERTIFICATES,True,4,integrated execution logs all module certificates,"every candidate/scenario/period and two-proposal decision retains projection, equilibrium, transition, loss, failure and selection evidence","production state, released information, action, path/checkpoint as applicable",src/tre84/control.py,ProjectedStochasticMPC.evaluate / TwoProposalSelector.select,MPCPolicy / ModelGuidedPolicy,chapter4_contract_reinforcement.csv,module_certificates|selection_log|maximum_residual,independent production-output recalculation plus controlled shared-kernel case,1.7053025658242404e-13,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M31_CORE_REPAIR_NUMERICAL_EQUIVALENCE,True,"5.1,5.2.5",contract-only repair equivalence,"accepted fixed points, projected actions, nested objectives, upstream anchors and precision evidence remain numerically equivalent","production state, released information, action, path/checkpoint as applicable",experiments/5.2-5/extended_audits.py,core_repair_numerical_equivalence_audit,run_5_2_5,core_repair_numerical_equivalence.csv,maximum_absolute_difference|categorical_identity,independent production-output recalculation plus controlled shared-kernel case,5.820766091346741e-11,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M13_SAC_LATENT_GAUSSIAN,True,4,reparameterised latent policy,SAC samples a preprojection diagonal Gaussian and records its latent density,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/features.py,LinearActor.sample_latent_normalised,train_sac,sac_update_recalculation.csv,latent_sample_sha256|preprojection_log_probability_recalculated,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M14_SAC_ACTOR_MEAN_UPDATE,True,4,actor mean update,every completed transition updates SAC mean parameters,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_checkpoint_replay.csv,actor_mean_weight_maximum_change_from_initial,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M15_SAC_LOG_STD_UPDATE,True,4,actor log-standard-deviation update,the stochastic actor variance is trained rather than fixed,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_checkpoint_replay.csv,actor_log_standard_deviation_maximum_change_from_initial,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M16_SAC_ENTROPY_ACTOR_TERM,True,4,constrained SAC actor loss,preprojection entropy contributes to the reconstructed actor objective,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,_sac_sample_objective_and_gradient,train_sac,sac_update_recalculation.csv,entropy_actor_contribution|actor_loss_relative_error,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-10,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M17_SAC_ENTROPY_TEMPERATURE,True,"4,5.1",adaptive entropy temperature,temperature follows the registered log-coordinate gradient update,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_update_recalculation.csv,temperature_gradient_recalculated|entropy_temperature_after,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-10,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M18_SAC_TWIN_REWARD_CRITICS,True,4,twin reward critics,"both reward critics receive distinct targets, losses and per-transition updates","production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_episode_replay_summary.csv,critic_loss_q1|critic_loss_q2,independent production-output recalculation plus controlled shared-kernel case,3.344259347770392e-16,1e-10,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M19_SAC_CONSTRAINT_CRITIC,True,4,soft constraint critic,constrained SAC updates its constraint critic from recorded targets,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_update_recalculation.csv,constraint_critic_target|constraint_critic_squared_loss,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-10,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M20_SAC_CONSTRAINT_DUAL,True,4,constraint dual update,the nonnegative constraint dual updates on every constrained transition,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_sac,train_sac,sac_update_recalculation.csv,constraint_dual_before|constraint_dual_after,independent production-output recalculation plus controlled shared-kernel case,1.699107818165632e-16,1e-10,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M21_SAC_PROJECTION_GRADIENT,True,4,projected actor gradient chain,the actor gradient uses the formal projector local Jacobian,"production state, released information, action, path/checkpoint as applicable",src/tre84/actions.py,ActionProjector.local_jacobian,_sac_sample_objective_and_gradient,sac_projection_jacobian.csv,analytic_local_jacobian|finite_difference_local_jacobian,independent production-output recalculation plus controlled shared-kernel case,6.354916592950357e-13,0.0001,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M22_SAC_FINITE_DIFFERENCE,True,"4,5.1",independent actor gradient acceptance,mean and log-standard-deviation gradients match central differences,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,sac_actor_gradient_check,run_5_2_2 and run_5_2_5,sac_actor_gradient_recalculation.csv,analytic_gradient_recalculated|finite_difference_gradient_recalculated,independent production-output recalculation plus controlled shared-kernel case,1.3750688088176588e-11,0.0001,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M23_VALIDATION_CHECKPOINT,True,4,validation-only checkpoint selection,BC and SAC checkpoints are selected before test replay on independent validation paths,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/training.py,train_bc/train_sac,run_5_2_2,sac_checkpoint_replay.csv,selection_data_split|selected_episode_matches_validation_trace,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M24_CHECKPOINT_REPLAY,True,4,frozen checkpoint replay,checkpoint hashes and deterministic actions independently reproduce,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/features.py,LinearActor.raw_action,ActorPolicy/ModelGuidedPolicy,sac_checkpoint_replay.csv,checkpoint_hash_matches|checkpoint_replay_maximum_action_difference,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
D1_PROJECTION_DUAL_KKT,False,4/5.1,projection KKT conditions,dual and complementarity residuals are auditable,frozen production diagnostic records,src/tre84/actions.py,ActionProjector.project,5.2.2 training and projection runners,projection_kkt_trace.csv,dual_residual|complementarity_residual,required diagnostic field presence,,,not applicable because the diagnostic was not persisted,NOT_TESTED,SLSQP multipliers were not persisted by the production ProjectionResult.
D2_BC_ACTION_DIMENSION_ERRORS,False,4/5.1,BC action fitting objective,validation error is decomposed by action coordinate and after projection,frozen production diagnostic records,experiments/5.2-2/training.py,train_bc,5.2.2 training and projection runners,bc_validation_summary.csv,per_action_dimension_error_status|projected_teacher_gap_status,required diagnostic field presence,,,not applicable because the diagnostic was not persisted,NOT_TESTED,5.2.2 persisted aggregate imitation loss but not action-coordinate validation errors or projected teacher gap.
D4_TRAINING_MEMORY_AND_TIME,False,4/5.1,computational profile,training wall time and peak memory are auditable,frozen production diagnostic records,experiments/5.2-2/run_5_2_2.py,run,5.2.2 training and projection runners,runtime_profile.csv,runtime|peak_memory,required diagnostic field presence,,,not applicable because the diagnostic was not persisted,NOT_TESTED,Training wall time by algorithm and peak memory were not persisted; no retrospective value is fabricated.
