parameter,value,source,evidence_class,basis_or_formula,basis_status
5.2.4.controller.information_controller_ids,"[""I0_RD"", ""IF_RD"", ""IL_RD"", ""ORACLE_RD""]",config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.capacity_controller_ids,"[""IL_RD"", ""IL_R"", ""IL_D"", ""IL_NONE""]",config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.training_seed_count,3,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.common_seed_rule,inherit the three frozen 5.2.2 seed indices; new conditions use the same deterministic initialization namespace,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.il_rd_anchor,reuse the accepted 5.2.2 BC and constrained-SAC checkpoint pairs because they are the already-trained proposed architecture under released lead information and full rights,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.new_condition_training,from-scratch BC teacher fitting and constrained SAC optimization under the condition-specific information or rights interface,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.fixed_diagnostic_checkpoint,IL_RD,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.controller.scenario_label_in_observation,False,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.event_onset,2026-02-23,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.readiness_lead_weeks_source,5.2.2 action.readiness_lead_weeks,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.direct_lead_weeks_source,5.2.2 action.direct_lead_weeks,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.preparation_window_rule,exactly L_R Mondays ending one week before event onset,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.sufficient_release_rule,tau_avail = tau_0 - L_R,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.insufficient_release_rule,first Monday after the sufficient boundary,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.timing.historical_anchor_rule,the accepted 21-week 5.2.2 event-window replay is evaluated separately from the designed preparation-window stresses,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.confidence_level,0.95,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.bootstrap_resamples,5000,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.bootstrap_seed_namespace,5.2.4-paired-bootstrap,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.multiplicity_adjustment,Holm adjusted paired p-values plus within-family simultaneous t intervals,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.pilot_paths,4,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.executed_paths_source,5.2.2 selected_path_count.csv,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.statistics.inference_unit,physical path after learning-seed averaging,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.computation.parallel_training_workers,4,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.computation.training_math_threads_per_worker,4,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.computation.parallel_evaluation_workers,14,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.computation.evaluation_math_threads_per_worker,1,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.computation.basis,training uses four isolated workers with four numerical-library threads; Python-bound matched evaluation uses fourteen one-thread workers and reserves two of sixteen logical processors for orchestration and the operating system,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.acceptance.anchor_tolerance,1e-06,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.acceptance.timing_tolerance_days,0,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.acceptance.loss_identity_tolerance_source,5.2.2 numerics.loss_identity_tolerance,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.acceptance.mass_tolerance_source,5.2.2 numerics.mass_tolerance,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
5.2.4.acceptance.missing_basis_policy,MISSING_BASIS blocks formal execution,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
input_sha256.historical_information_event_path_5_2_1,407b06106c86f7173d399d8a66283f48ac6746b146c869c14cf77bad3ba3a976,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.acceptance_5_2_2,4a0b2479a27400c868ba9ffee00c691761ddc460c59f1d8532e89630c8829c80,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.run_manifest_5_2_2,ce4f0bf874cfb902e0a2d11d499dd177b0496029d67a74d623c4d152417bd30b,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.checkpoint_manifest_5_2_2,9033589ef4cf9ed49b7cfe3cb1815f1fd0bdfcb453eaa9e8d2f3c969ac66baf8,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.acceptance_5_2_3,f0ba77228d399b8bf7759a4f33c55c64e6f8ed835b16d2b62bb807ffcf6abc0e,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.run_manifest_5_2_3,ffe2db2a65d4c1bc9fc8a9ac8e48a3a14da0c2473c3712f77d1271663b36a212,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.path_medoid_selection_5_2_3,1442a006c6416b3cfc4077f47740911b2c9523dd3d2abd36e8d84c1df5a6da56,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.acceptance_5_2_1,eb0585b60b1ea4ed831b00ef76d0c115246e6faa229841123c54dd1e96a45809,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.hmm_parameter_manifest,c80557646765b5f3c5cdd4c0c9e2342153b96d1ae6507a3c5da0ad63074e2628,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.released_hmm_filter,d69fcafd6c0673c1be945aa97291cf16e6611c16db3f60bf2fc4845a88b405d4,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.release_clock,44e2f3007b25723112768461d50a92311fb9c55a91499d693333baa5cecc6ab4,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.historical_information_event_path,407b06106c86f7173d399d8a66283f48ac6746b146c869c14cf77bad3ba3a976,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.test_path_manifest_5_2_2,c72dda4f1f2a67d7147743f779cd059a18929314ff07502125947f58692d546d,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.acceptance_5_2_3_current,f0ba77228d399b8bf7759a4f33c55c64e6f8ed835b16d2b62bb807ffcf6abc0e,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.run_manifest_5_2_3_current,ffe2db2a65d4c1bc9fc8a9ac8e48a3a14da0c2473c3712f77d1271663b36a212,run manifest,hash-locked input,SHA256,REGISTERED
input_sha256.path_medoid_selection_5_2_3_current,1442a006c6416b3cfc4077f47740911b2c9523dd3d2abd36e8d84c1df5a6da56,run manifest,hash-locked input,SHA256,REGISTERED
